;n;accuracy
0;1;0.37755102040816324
1;2;0.5199999999999999
2;3;0.6073469387755102
3;4;0.639591836734694
4;5;0.6646938775510205
5;6;0.6814285714285714
6;7;0.6808163265306123
7;8;0.6961224489795919
8;9;0.7040816326530612
9;10;0.7055102040816327
10;11;0.7128571428571429
11;12;0.7189795918367347
12;13;0.7159183673469387
13;14;0.7163265306122449
14;15;0.7175510204081633
15;16;0.7191836734693878
16;17;0.7181632653061224
17;18;0.7212244897959182
18;19;0.7193877551020409
19;20;0.7222448979591837
20;21;0.7197959183673468
21;22;0.7214285714285714
22;23;0.7208163265306122
23;24;0.7257142857142856
24;25;0.7281632653061225
25;26;0.7287755102040816
26;27;0.7306122448979591
27;28;0.7326530612244898
28;29;0.7361224489795919
29;30;0.736938775510204
30;31;0.736734693877551
31;32;0.73734693877551
32;33;0.7408163265306124
33;34;0.7416326530612245
34;35;0.7397959183673469
35;36;0.7375510204081633
36;37;0.7461224489795919
37;38;0.7457142857142858
38;39;0.7457142857142857
39;40;0.7457142857142857
40;41;0.7489795918367346
41;42;0.7491836734693876
42;43;0.7493877551020407
43;44;0.7491836734693877
44;45;0.7489795918367347
45;46;0.7489795918367347
46;47;0.7491836734693877
47;48;0.7491836734693877
48;49;0.7491836734693877
49;50;0.7493877551020407
50;51;0.7493877551020407
51;52;0.7493877551020407
52;53;0.7493877551020407
53;54;0.7493877551020407
